subset,functional,n_pairs,kendall_tau,kendall_tau_ci95_low,kendall_tau_ci95_high,top_10pct_chance_adjusted_jaccard,median_normalized_rank_displacement
panel_P0,F1_Frobenius,573,0.2453490536947952,0.1865572446397607,0.3053057382468965,0.023979174376674968,0.1888111888111888
panel_P0,F3_Longitudinal,573,0.26857345047318515,0.21403764401199835,0.3243666961873743,0.013368228914052508,0.1853146853146853
panel_P0,F4_KelvinOp,573,0.255259681075164,0.19704022954450628,0.3153708205860884,0.03479223308620452,0.18356643356643357
panel_P1,F1_Frobenius,536,0.25397212889346243,0.19412496521027775,0.30930187666964665,0.03079087659228002,0.19439252336448598
panel_P1,F3_Longitudinal,536,0.28006149493522997,0.22273283094507995,0.3341352299092134,0.019260442576430604,0.18504672897196262
panel_P1,F4_KelvinOp,536,0.26866098461668303,0.2092296473877141,0.32193737658101773,0.03079087659228002,0.18411214953271027
panel_P2,F1_Frobenius,207,0.191753834607627,0.09450899897711948,0.2835532085884057,0.0007353286282939176,0.23300970873786409
panel_P2,F3_Longitudinal,207,0.21515646248778617,0.1202284083491248,0.3030252430973294,-0.027733750328164945,0.23786407766990292
panel_P2,F4_KelvinOp,207,0.2051690979877105,0.10794832975262614,0.2971096702013457,-0.027733750328164945,0.22815533980582525
panel_P3,F1_Frobenius,207,0.191753834607627,0.09450899897711948,0.2835532085884057,0.0007353286282939176,0.23300970873786409
panel_P3,F3_Longitudinal,207,0.21515646248778617,0.1202284083491248,0.3030252430973294,-0.027733750328164945,0.23786407766990292
panel_P3,F4_KelvinOp,207,0.2051690979877105,0.10794832975262614,0.2971096702013457,-0.027733750328164945,0.22815533980582525
both_above_0.05,F1_Frobenius,482,0.15252424178307167,0.0886284702616781,0.21626739206036363,0.04013502497253464,0.22557172557172558
both_above_0.05,F3_Longitudinal,482,0.18123453026345315,0.11746720527398748,0.24543301552630029,0.014538625638468892,0.2047817047817048
both_above_0.05,F4_KelvinOp,482,0.16227268031332454,0.0981467209898319,0.22310644394290238,0.014538625638468892,0.22245322245322247
either_above_0.25,F1_Frobenius,478,0.047950312740346515,-0.012272134419428007,0.10921331540250294,0.029810875893104244,0.2631027253668763
either_above_0.25,F3_Longitudinal,478,0.08186344423406447,0.01776542826189926,0.14346046374882684,0.004193522616124413,0.24528301886792453
either_above_0.25,F4_KelvinOp,478,0.05767020782199745,-0.004362569948119686,0.1199200482801472,0.004193522616124413,0.2557651991614256
high_response_union,F1_Frobenius,478,0.047950312740346515,-0.012272134419428007,0.10921331540250294,0.029810875893104244,0.2631027253668763
high_response_union,F3_Longitudinal,478,0.08186344423406447,0.01776542826189926,0.14346046374882684,0.004193522616124413,0.24528301886792453
high_response_union,F4_KelvinOp,478,0.05767020782199745,-0.004362569948119686,0.1199200482801472,0.004193522616124413,0.2557651991614256
exclude_top_1pct_amplitude,F1_Frobenius,567,0.253671761851595,0.19825056640832325,0.3096096430529915,0.036944663147605666,0.19257950530035337
exclude_top_1pct_amplitude,F3_Longitudinal,567,0.27731378338596746,0.2242428219793672,0.33284419819052247,0.015088088126842106,0.18197879858657243
exclude_top_1pct_amplitude,F4_KelvinOp,567,0.263469359198852,0.20845555821758374,0.32061685776795884,0.036944663147605666,0.18109540636042404
winsorized_5_95,F1_Frobenius,573,0.2463242396841226,0.1869999105462768,0.30586577400156983,0.023979174376674968,0.1888111888111888
winsorized_5_95,F3_Longitudinal,573,0.27037038178942174,0.2156052970247985,0.32723231668738706,0.013368228914052508,0.1853146853146853
winsorized_5_95,F4_KelvinOp,573,0.25611195781726653,0.19743849166984834,0.3174358300397047,0.03479223308620452,0.18356643356643357
log_eps_F,F1_Frobenius,573,0.2453490536947952,0.1865572446397607,0.3053057382468965,0.023979174376674968,0.1888111888111888
log_eps_F,F3_Longitudinal,573,0.26857345047318515,0.21403764401199835,0.3243666961873743,0.013368228914052508,0.1853146853146853
log_eps_F,F4_KelvinOp,573,0.255259681075164,0.19704022954450628,0.3153708205860884,0.03479223308620452,0.18356643356643357
without_orthorhombic,F1_Frobenius,456,0.22866094673102066,0.16029119676556414,0.29119935878633374,0.03367549130247109,0.189010989010989
without_orthorhombic,F3_Longitudinal,456,0.2503154971073178,0.1855735289727582,0.31196127783796174,-0.006243054803454974,0.1934065934065934
without_orthorhombic,F4_KelvinOp,456,0.23992094866119615,0.17600816810674144,0.3034804687241553,0.006750040595728805,0.18681318681318682
without_tetragonal,F1_Frobenius,488,0.2324538148857592,0.1724535101240812,0.29279157166071795,0.04082704895807326,0.19096509240246407
without_tetragonal,F3_Longitudinal,488,0.24860565192683023,0.18747669339326806,0.30771854049749753,0.015249103596955206,0.18583162217659138
without_tetragonal,F4_KelvinOp,488,0.2396582924389729,0.17888204527908108,0.29778340453997126,0.015249103596955206,0.19301848049281314
without_cubic,F1_Frobenius,523,0.23490667986838945,0.1716787762042592,0.29969117063487877,0.03226593861005994,0.18773946360153257
without_cubic,F3_Longitudinal,523,0.2576103901583329,0.19412480834373158,0.31914502545889945,0.020475364291344642,0.1810344827586207
without_cubic,F4_KelvinOp,523,0.23912669195722056,0.17465583291368586,0.3044372194335146,0.0565996770976213,0.19348659003831417
without_hexagonal,F1_Frobenius,412,0.27504902325490743,0.20852850479536228,0.33824576441273996,0.09075021223273594,0.18613138686131386
without_hexagonal,F3_Longitudinal,412,0.3025610623533707,0.23884940207023403,0.36384574219787147,0.09075021223273594,0.17639902676399027
without_hexagonal,F4_KelvinOp,412,0.2836487350282098,0.21849333851427383,0.34812997998046286,0.10768762309073585,0.18491484184914841
without_monoclinic,F1_Frobenius,514,0.2512421017499412,0.18874439140883564,0.310440977356944,0.0221877900737923,0.1861598440545809
without_monoclinic,F3_Longitudinal,514,0.27562896435181755,0.21673405513487723,0.33133476917591076,0.0221877900737923,0.1793372319688109
without_monoclinic,F4_KelvinOp,514,0.26228637746239564,0.20088282449156214,0.3209210779428611,0.010381818789171902,0.1783625730994152
without_trigonal,F1_Frobenius,490,0.24606099566693887,0.18406764364581019,0.3054821742252303,0.0006810134372583507,0.19325153374233128
without_trigonal,F3_Longitudinal,490,0.27613801814367167,0.21828532422165303,0.3327342890660148,0.012777513027568214,0.18916155419222902
without_trigonal,F4_KelvinOp,490,0.26270602824691225,0.2019716374484878,0.322463370454932,0.02513986975173105,0.18302658486707568
without_triclinic,F1_Frobenius,555,0.25254351955986976,0.19196330145016582,0.31149594939396846,0.027304095943448133,0.17870036101083034
without_triclinic,F3_Longitudinal,555,0.27398895609635393,0.21657458771160418,0.3304012937266599,0.01625301667819088,0.18050541516245489
without_triclinic,F4_KelvinOp,555,0.26188493664523305,0.20268527232693026,0.3210879989344461,0.027304095943448133,0.18050541516245489
