panel,functional,threshold_C_per_m2,both_above,jarvis_only,mp_only,both_below,agreement_rate,cohen_kappa,mcc,precision_jarvis_as_ref,recall_jarvis_as_ref,precision_mp_as_ref,recall_mp_as_ref
P0,F1_Frobenius,0.25,273,64,141,95,0.6422338568935427,0.20804328406007183,0.23372200587166947,0.6594202898550725,0.8100890207715133,0.8100890207715133,0.6594202898550725
P0,F1_Frobenius,0.5,136,72,150,215,0.612565445026178,0.21011648990338055,0.2335924770814948,0.4755244755244755,0.6538461538461539,0.6538461538461539,0.4755244755244755
P0,F1_Frobenius,1.0,32,48,135,358,0.680628272251309,0.05554980117359408,0.09622560851571947,0.19161676646706588,0.4,0.4,0.19161676646706588
P0,F3_Longitudinal,0.25,144,70,146,213,0.6230366492146597,0.2349799732977304,0.25756654737305823,0.496551724137931,0.6728971962616822,0.6728971962616822,0.496551724137931
P0,F3_Longitudinal,0.5,50,53,138,332,0.6666666666666666,0.12025079881835149,0.15687431722661394,0.26595744680851063,0.4854368932038835,0.4854368932038835,0.26595744680851063
P0,F3_Longitudinal,1.0,3,13,82,475,0.8342059336823735,-0.031503150315031175,0.01867185584657246,0.03529411764705882,0.1875,0.1875,0.03529411764705882
P0,F4_KelvinOp,0.25,210,68,151,144,0.6178010471204188,0.22532433258327078,0.2520963861449458,0.5817174515235457,0.7553956834532374,0.7553956834532374,0.5817174515235457
P0,F4_KelvinOp,0.5,88,59,150,276,0.6352530541012217,0.18250422376572192,0.21848251560503584,0.3697478991596639,0.5986394557823129,0.5986394557823129,0.3697478991596639
P0,F4_KelvinOp,1.0,13,27,107,426,0.7661431064572426,0.026597363083164228,0.07781236836647529,0.10833333333333334,0.325,0.325,0.10833333333333334
P2,F1_Frobenius,0.25,99,30,48,30,0.6231884057971014,0.1521739130434782,0.1624108284808682,0.673469387755102,0.7674418604651163,0.7674418604651163,0.673469387755102
P2,F1_Frobenius,0.5,56,38,48,65,0.5845410628019324,0.16750841750841758,0.170246194774063,0.5384615384615384,0.5957446808510638,0.5957446808510638,0.5384615384615384
P2,F1_Frobenius,1.0,12,31,49,115,0.6135265700483091,-0.027295285359801465,-0.01753950380864634,0.19672131147540983,0.27906976744186046,0.27906976744186046,0.19672131147540983
P2,F3_Longitudinal,0.25,59,33,47,68,0.6135265700483091,0.22558922558922548,0.2312358467301341,0.5566037735849056,0.6413043478260869,0.6413043478260869,0.5566037735849056
P2,F3_Longitudinal,0.5,19,37,47,104,0.5942028985507246,0.023804176959353017,0.02671679356452185,0.2878787878787879,0.3392857142857143,0.3392857142857143,0.2878787878787879
P2,F3_Longitudinal,1.0,1,8,30,168,0.8164251207729468,-0.05160427807486663,-0.02309093218185282,0.03225806451612903,0.1111111111111111,0.1111111111111111,0.03225806451612903
P2,F4_KelvinOp,0.25,78,31,47,51,0.6231884057971014,0.23333333333333336,0.2409265302880791,0.624,0.7155963302752294,0.7155963302752294,0.624
P2,F4_KelvinOp,0.5,33,35,45,94,0.6135265700483091,0.15354733183398062,0.15657954404627555,0.4230769230769231,0.4852941176470588,0.4852941176470588,0.4230769230769231
P2,F4_KelvinOp,1.0,4,17,38,148,0.7342995169082126,-0.02971102971102991,-0.010379131707781774,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.09523809523809523
