q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,adj_jaccard_ci95_low,adj_jaccard_ci95_high,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,panel,metric
1,5,573,0,0.0,0.0048647682070274215,-0.004888549869008643,-0.004888549869008643,-0.004888549869008643,1.0,0.0,340.2,368.5,P0,F1_Frobenius
2,11,573,0,0.0,0.010144239897062002,-0.010248200097362744,-0.010248200097362744,-0.010248200097362744,1.0,0.0,240.8181818181818,183.0,P0,F1_Frobenius
3,17,573,0,0.0,0.015500234329753358,-0.015744274270294834,-0.015744274270294834,0.015035855253047433,1.0,0.0,193.89705882352942,142.75,P0,F1_Frobenius
4,22,573,0,0.0,0.02001050598232266,-0.020419102556176693,-0.020419102556176693,0.02817228327983172,1.0,0.0,184.20454545454547,143.25,P0,F1_Frobenius
5,28,573,1,0.01818181818181818,0.025477572909264095,-0.007486492382967622,-0.026143649649318874,0.05279047724678258,0.7625610938212595,0.7136401197465302,194.43636363636364,146.5,P0,F1_Frobenius
6,34,573,1,0.014925373134328358,0.031004428935034415,-0.01659352868149286,-0.03199646093424275,0.0503571736979139,0.8828317987548299,0.4813948731519119,223.6417910447761,179.0,P0,F1_Frobenius
7,40,573,4,0.05263157894736842,0.03659167305736104,0.016649125237384824,-0.024842472853864758,0.09359363812960823,0.3021084629914409,1.4383485243996155,220.1315789473684,177.5,P0,F1_Frobenius
8,45,573,6,0.07142857142857142,0.041294420937402626,0.031432121757999316,-0.031353177177307553,0.07282391142646089,0.1301014547021626,1.7297390254448306,219.45238095238096,186.5,P0,F1_Frobenius
9,51,573,8,0.0851063829787234,0.046994555952628414,0.039991195500663414,-0.017514617312897968,0.10395833559664742,0.07065424925003903,1.810983873632354,215.4255319148936,188.0,P0,F1_Frobenius
10,57,573,8,0.07547169811320754,0.05275760760908707,0.023979174376674968,-0.01730704978698331,0.10425794358378829,0.19253854262356407,1.4305367800682485,226.14622641509433,196.5,P0,F1_Frobenius
11,63,573,11,0.09565217391304348,0.05858458404020633,0.039374317909427824,-0.00934924799377043,0.11509761414494404,0.0691668085593569,1.632719178263651,225.97826086956522,196.0,P0,F1_Frobenius
12,68,573,14,0.11475409836065574,0.06348998130614933,0.05473952870894474,-0.009851913199545405,0.1163082184098947,0.019621626725187958,1.8074363230209554,229.04508196721312,197.5,P0,F1_Frobenius
13,74,573,18,0.13846153846153847,0.06943688706444504,0.07417514238163624,0.011665069878206561,0.12311159914146404,0.0028712962228367458,1.9940631603060057,224.15769230769232,196.5,P0,F1_Frobenius
14,80,573,21,0.1510791366906475,0.07545075520425892,0.08180027393034862,0.014044269700603788,0.14782388032467383,0.0011835785807384862,2.002354201513938,222.14388489208633,196.0,P0,F1_Frobenius
15,85,573,22,0.14864864864864866,0.08051427689820931,0.07410052167052147,0.0254292442073145,0.1454850619498917,0.002673512516616943,1.8462396282410716,217.83445945945945,186.0,P0,F1_Frobenius
16,91,573,26,0.16666666666666666,0.08665385984471832,0.08760403455402464,0.02529406618210439,0.13869820861899929,0.0005519807005161501,1.9233611401191983,215.22756410256412,177.5,P0,F1_Frobenius
17,97,573,29,0.17575757575757575,0.09286367473140028,0.09137976147259994,0.03126596174468248,0.1574240950336024,0.0003351403668804773,1.8926407582506133,216.76969696969698,182.0,P0,F1_Frobenius
18,103,573,31,0.17714285714285713,0.09914492971776269,0.08658210404550172,0.029458823363465725,0.16577574317286986,0.0005896419299347943,1.7867061648753222,213.94285714285715,179.0,P0,F1_Frobenius
19,108,573,36,0.2,0.10443477276239174,0.10670939908238894,0.04290292758827383,0.16092645867565433,4.189235129144599e-05,1.915070954911126,211.45555555555555,175.5,P0,F1_Frobenius
20,114,573,38,0.2,0.11085023542627534,0.10026405913346305,0.04557191037532984,0.16737143593842574,9.903853386067267e-05,1.8042361320289366,206.79473684210527,172.5,P0,F1_Frobenius
21,120,573,38,0.18811881188118812,0.11734072027853504,0.08018733075008067,0.01669358920038536,0.1431407517994446,0.0012444872793296792,1.6031843969820971,205.0742574257426,172.5,P0,F1_Frobenius
22,126,573,40,0.18867924528301888,0.12390754979930439,0.07393248905281237,0.02459443138712708,0.14818503852480136,0.002564779035275853,1.5227421217563137,201.75943396226415,171.5,P0,F1_Frobenius
23,131,573,43,0.1963470319634703,0.12943920253995603,0.0768560100784749,0.022610258278361356,0.14260843650285493,0.001859573182548429,1.5169054514443627,198.66666666666666,168.0,P0,F1_Frobenius
24,137,573,49,0.21777777777777776,0.13614953768030674,0.0944934842985152,0.03450586696239168,0.1600613451077665,0.00021562509273936794,1.5995484192472442,199.33777777777777,170.0,P0,F1_Frobenius
25,143,573,52,0.2222222222222222,0.1429401392933665,0.09250472057282998,0.0509407325700743,0.1495472809939664,0.0002845818080401098,1.5546523413282767,197.81623931623932,169.0,P0,F1_Frobenius
26,148,573,56,0.23333333333333334,0.14866133274015444,0.09945748249131894,0.04150952919076033,0.16904563601819064,0.00011530295886892613,1.5695630399142009,197.3875,169.0,P0,F1_Frobenius
27,154,573,62,0.25203252032520324,0.15560287751019589,0.11419939770835932,0.056279351532700105,0.1640398408040527,1.450771037152465e-05,1.6197163211759293,197.3008130081301,169.0,P0,F1_Frobenius
28,160,573,66,0.25984251968503935,0.16262888566726297,0.11609384698592273,0.05364202726272823,0.17791567809358463,1.1297017257920164e-05,1.59776363601651,196.63779527559055,169.0,P0,F1_Frobenius
29,166,573,70,0.26717557251908397,0.16974090852766702,0.11735452823362887,0.06653193270810834,0.1779196523710369,9.714891687477384e-06,1.574019927409164,195.59541984732823,169.0,P0,F1_Frobenius
30,171,573,74,0.27611940298507465,0.17573444559908336,0.12178715566848107,0.055436170522373644,0.194358545672036,5.110149877273816e-06,1.5712309675190674,195.1492537313433,169.0,P0,F1_Frobenius
31,177,573,79,0.2872727272727273,0.1830083192418814,0.1276199139923859,0.07233481724217188,0.19342698124160834,2.14493430065993e-06,1.5697249636670343,194.12363636363636,167.0,P0,F1_Frobenius
32,183,573,83,0.29328621908127206,0.1903728151227539,0.12711209045447464,0.0830647270318785,0.18577655334690996,2.464729161936949e-06,1.5405887594410934,192.87632508833923,167.0,P0,F1_Frobenius
33,189,573,90,0.3125,0.19782963807008228,0.14295013549744684,0.07750269129907009,0.20792503497236967,1.9050216046030827e-07,1.5796419740165277,192.23611111111111,164.0,P0,F1_Frobenius
34,194,573,94,0.3197278911564626,0.20411544453627195,0.14526283469947246,0.08023577192758916,0.21582411557960107,1.3597725689859222e-07,1.5664071471066265,190.96938775510205,159.0,P0,F1_Frobenius
35,200,573,101,0.3377926421404682,0.2117461055962624,0.1599060118054371,0.0941601041546655,0.2127278506654804,1.0673299853027181e-08,1.595272041435036,190.1170568561873,158.0,P0,F1_Frobenius
36,206,573,106,0.3464052287581699,0.21947416273996465,0.16262250390555322,0.09752825326575847,0.23931247633087072,7.093224368522331e-09,1.5783417256663355,190.0718954248366,160.5,P0,F1_Frobenius
