panel,metric,covariate,group,n,kendall_tau,delta_tau_vs_full
P0,F1_Frobenius,crystal_system,orthorhombic,117,0.33190862556506995,0.08655957187027474
P0,F1_Frobenius,crystal_system,tetragonal,85,0.3241350360977324,0.07878598240293722
P0,F1_Frobenius,crystal_system,cubic,50,0.24989793835051285,0.00454888465571765
P0,F1_Frobenius,crystal_system,hexagonal,161,0.17921341784675723,-0.06613563584803797
P0,F1_Frobenius,crystal_system,monoclinic,59,0.22111729521396487,-0.02423175848083034
P0,F1_Frobenius,crystal_system,trigonal,83,0.1999118230539844,-0.045437230640810816
P0,F1_Frobenius,crystal_system,triclinic,18,0.032679738562091505,-0.2126693151327037
P0,F1_Frobenius,anion_group,oxide,268,0.3036927292719291,0.05834367557713388
P0,F1_Frobenius,anion_group,sulfide,164,0.10671655820277313,-0.13863249549202206
P0,F1_Frobenius,anion_group,nitride,40,0.3912765397624133,0.14592748606761807
P0,F1_Frobenius,anion_group,other,12,0.303030303030303,0.05768124933550778
P0,F1_Frobenius,anion_group,halide,61,0.2262295081967213,-0.019119545498073903
P0,F1_Frobenius,anion_group,telluride,28,0.14814814814814814,-0.09720090554664707
P0,F1_Frobenius,response_magnitude_quartile,Q1_low,167,0.21089493676475837,-0.03445411693003683
P0,F1_Frobenius,response_magnitude_quartile,Q2,160,-0.038602146340607726,-0.2839512000354029
P0,F1_Frobenius,response_magnitude_quartile,Q3,146,0.06236711726122729,-0.18298193643356792
P0,F1_Frobenius,response_magnitude_quartile,Q4_high,100,0.01575757575757576,-0.22959147793721946
P0,F1_Frobenius,rms_match_quality,best_match,191,0.19803235325953358,-0.04731670043526162
P0,F1_Frobenius,rms_match_quality,mid_match,191,0.24608686067019403,0.0007378069753988248
P0,F1_Frobenius,rms_match_quality,loose_match,191,0.2857064148032599,0.04035736110846472
P0,F3_Longitudinal,crystal_system,orthorhombic,117,0.34841562648127233,0.07984217600808718
P0,F3_Longitudinal,crystal_system,tetragonal,85,0.38900210026626264,0.12042864979307749
P0,F3_Longitudinal,crystal_system,cubic,50,0.24989793835051285,-0.018675512122672294
P0,F3_Longitudinal,crystal_system,hexagonal,161,0.20294055850456238,-0.06563289196862276
P0,F3_Longitudinal,crystal_system,monoclinic,59,0.23866628689761285,-0.0299071635755723
P0,F3_Longitudinal,crystal_system,trigonal,83,0.20343967875493701,-0.06513377171824813
P0,F3_Longitudinal,crystal_system,triclinic,18,-0.006535947712418302,-0.2751093981856034
P0,F3_Longitudinal,anion_group,oxide,268,0.3288245235890016,0.060251073115816456
P0,F3_Longitudinal,anion_group,sulfide,164,0.14211944478911703,-0.12645400568406812
P0,F3_Longitudinal,anion_group,nitride,40,0.37893455053794395,0.1103611000647588
P0,F3_Longitudinal,anion_group,other,12,0.3636363636363636,0.09506291316317844
P0,F3_Longitudinal,anion_group,halide,61,0.23387978142076501,-0.034693669052420134
P0,F3_Longitudinal,anion_group,telluride,28,0.10052910052910052,-0.16804434994408463
P0,F3_Longitudinal,response_magnitude_quartile,Q1_low,149,0.06845789808230936,-0.2001155523908758
P0,F3_Longitudinal,response_magnitude_quartile,Q2,176,0.0682556177566164,-0.20031783271656875
P0,F3_Longitudinal,response_magnitude_quartile,Q3,146,0.03184352319926895,-0.2367299272739162
P0,F3_Longitudinal,response_magnitude_quartile,Q4_high,102,-0.06445976149197269,-0.33303321196515784
P0,F3_Longitudinal,rms_match_quality,best_match,191,0.21837076204358571,-0.050202688429599435
P0,F3_Longitudinal,rms_match_quality,mid_match,191,0.2577496631683194,-0.010823787304865773
P0,F3_Longitudinal,rms_match_quality,loose_match,191,0.31010413489399075,0.0415306844208056
P0,F4_KelvinOp,crystal_system,orthorhombic,117,0.3251289644744868,0.0698692833993228
P0,F4_KelvinOp,crystal_system,tetragonal,85,0.3325395746309493,0.0772798935557853
P0,F4_KelvinOp,crystal_system,cubic,50,0.24989793835051285,-0.005361742724651147
P0,F4_KelvinOp,crystal_system,hexagonal,161,0.19489847434807653,-0.060361206727087474
P0,F4_KelvinOp,crystal_system,monoclinic,59,0.21058790020377605,-0.044671780871387956
P0,F4_KelvinOp,crystal_system,trigonal,83,0.17580480909747448,-0.07945487197768952
P0,F4_KelvinOp,crystal_system,triclinic,18,0.08496732026143793,-0.17029236081372606
P0,F4_KelvinOp,anion_group,oxide,268,0.321918765675215,0.06665908460005099
P0,F4_KelvinOp,anion_group,sulfide,164,0.11360149744166172,-0.1416581836335023
P0,F4_KelvinOp,anion_group,nitride,40,0.3681848095469266,0.11292512847176261
