panel,metric,covariate,group,n,kendall_tau,kendall_tau_ci95_low,kendall_tau_ci95_high,delta_tau_vs_full,permutation_pvalue,fdr_qvalue
P0,F1_Frobenius,crystal_system,orthorhombic,117,0.33190862556506995,0.20794552740290928,0.4485793489754753,0.08655957187027474,0.1546,0.4638
P0,F1_Frobenius,crystal_system,tetragonal,85,0.3241350360977324,0.15425614358162676,0.47066868388467015,0.07878598240293722,0.2682,0.4638
P0,F1_Frobenius,crystal_system,cubic,50,0.24989793835051285,0.040721556653854296,0.4543055110403237,0.00454888465571765,0.8904,0.4638
P0,F1_Frobenius,crystal_system,hexagonal,161,0.17921341784675723,0.029005135418746424,0.32059368056256415,-0.06613563584803797,0.1428,0.4638
P0,F1_Frobenius,crystal_system,monoclinic,59,0.22111729521396487,0.036293691048372205,0.3913434681686448,-0.02423175848083034,0.7602,0.4638
P0,F1_Frobenius,crystal_system,trigonal,83,0.1999118230539844,-0.009918276054775833,0.39632780590381894,-0.045437230640810816,0.5778,0.4638
P0,F1_Frobenius,anion_group,selenide,38,0.12259472075004432,-0.14214014560283628,0.3927284841474567,-0.12275433294475088,0.2684,0.0112
P0,F1_Frobenius,anion_group,other,61,0.03825136612021858,-0.20016502853861626,0.33425033528061265,-0.20709768757457664,0.0186,0.0112
P0,F1_Frobenius,anion_group,halide,65,0.2480769230769231,0.0506397922487385,0.4230778648383937,0.0027278693821279065,0.9102,0.0112
P0,F1_Frobenius,anion_group,oxide,182,0.2940158485734374,0.18154815929414397,0.39632862493279253,0.04866679487864217,0.3706,0.0112
P0,F1_Frobenius,anion_group,nitride,42,0.2882045809016428,0.023626750276241292,0.5190561123370091,0.0428555272068476,0.5028,0.0112
P0,F1_Frobenius,anion_group,sulfide,62,-0.01798941798941799,-0.2774077846167471,0.25209260957596213,-0.2633384716842132,0.0016,0.0112
P0,F1_Frobenius,anion_group,halide_oxide,33,0.3257575757575758,0.04667591944385654,0.572048403544553,0.0804085220627806,0.5148,0.0112
P0,F1_Frobenius,response_magnitude_quartile,Q1_low,231,0.2762243770263348,0.18596862011561,0.3625180007816832,0.030875323331539584,0.006,0.0056
P0,F1_Frobenius,response_magnitude_quartile,Q2,141,0.102436800374628,-0.0064596488786445,0.21577170109342592,-0.14291225332016722,0.0096,0.0056
P0,F1_Frobenius,response_magnitude_quartile,Q3,104,0.09694593379850178,-0.016763077579340358,0.21668774956124487,-0.14840311989629343,0.0612,0.0056
P0,F1_Frobenius,response_magnitude_quartile,Q4_high,97,0.027061855670103097,-0.10924667929007459,0.1610017001540221,-0.2182871980246921,0.0014,0.0056
P0,F1_Frobenius,rms_match_quality,best_match,191,0.19803235325953358,0.05666680759301265,0.33333662064719577,-0.04731670043526162,0.2282,0.36869999999999997
P0,F1_Frobenius,rms_match_quality,mid_match,191,0.24608686067019403,0.14732068635604464,0.34568342985711387,0.0007378069753988248,0.9734,0.36869999999999997
P0,F1_Frobenius,rms_match_quality,loose_match,191,0.2857064148032599,0.16878495045617709,0.3944571434660079,0.04035736110846472,0.2458,0.36869999999999997
P0,F1_Frobenius,lattice_match_quality,best_match,191,0.1663313952517777,0.0300137476588583,0.30072936919820936,-0.0790176584430175,0.0462,0.1386
