panel,metric,continuous_covariate,n,kendall_tau_vs_rank_shift,spearman_rho_vs_rank_shift
P0,F1_Frobenius,rms_distance,573,-0.06276250552169917,-0.08985402236266077
P0,F1_Frobenius,lattice_distance,573,-0.04208003218588945,-0.06130234877279683
P0,F3_Longitudinal,rms_distance,573,-0.07641949396927708,-0.11161492374514016
P0,F3_Longitudinal,lattice_distance,573,-0.053015794792695345,-0.07752444266892759
P0,F4_KelvinOp,rms_distance,573,-0.062421770853883035,-0.09043479293532806
P0,F4_KelvinOp,lattice_distance,573,-0.031030581672883986,-0.04533520915615457
P2,F1_Frobenius,rms_distance,207,-0.0682775725840776,-0.0928003598278258
P2,F1_Frobenius,lattice_distance,207,-0.04765303686557692,-0.07336673899473455
P2,F3_Longitudinal,rms_distance,207,-0.05424791858632194,-0.06662217326475484
P2,F3_Longitudinal,lattice_distance,207,-0.008287876450688075,-0.011499132561371292
P2,F4_KelvinOp,rms_distance,207,-0.05900821403860742,-0.07987776405176397
P2,F4_KelvinOp,lattice_distance,207,-0.027267163550162565,-0.04097837744352366
