panel,attribute,required,jarvis_source_field,mp_source_field,unit,common_n,available_n,status,kendall_tau,kendall_tau_ci95_low,kendall_tau_ci95_high,nAUCC,nAUCC_ci95_low,nAUCC_ci95_high,Delta_tau,Delta_tau_ci95_low,Delta_tau_ci95_high,Delta_nAUCC,permutation_pvalue
P0,F1_Frobenius,True,jarvis_f1,mp_f1,C/m^2,573,573,ok,0.2453490536947952,0.16971387553658368,0.3159232044382336,0.1050746995817334,0.056263162968682404,0.15744326435693812,,,,,
P0,volume,True,computed_from_cif,computed_from_cif,Angstrom^3,573,573,ok,0.967315954203421,0.9626854059933391,0.9713690313567374,0.9179960638677702,0.9011779688121604,0.936279063720277,0.7219669005086258,0.6508908726237529,0.7978885135388896,0.8129213642860368,0.4784
P0,band_gap,True,band_gap,band_gap,eV,573,573,ok,0.9081664896594879,0.8896863214946014,0.9229129198918371,0.8970539657379475,0.863534285596091,0.908393607982319,0.6628174359646927,0.5911577562325606,0.7361809052520312,0.7919792661562141,0.4752
P0,energy_above_hull,False,energy_above_hull,energy_above_hull,eV/atom,573,573,ok,0.6110458972173113,0.5468336766770913,0.6700682475912213,0.5327197102272283,0.45502859279748853,0.5924081977168817,0.3656968435225161,0.2752199426800535,0.45778732937532524,0.42764501064549487,0.4812
P0,dielectric_total_trace,True,dielectric_total,dielectric_total,dimensionless,573,573,ok,0.48172964279143093,0.41780624422759743,0.5468647568469136,0.2860962067663397,0.22801869475530204,0.3444143769087743,0.23638058909663573,0.15152830079237323,0.31601871333976944,0.18102150718460627,0.4706
P0,elastic_bulk_modulus_vrh,False,elastic_tensor,elastic_tensor,GPa,0,218,insufficient_N,,,,,,,,,,,
P0_high_response,F1_Frobenius,True,jarvis_f1,mp_f1,C/m^2,287,287,ok,-0.23629319195662127,-0.32595040010178783,-0.13671267360207748,-0.0482279701000004,-0.09661515740099216,0.007168676148550735,,,,,
P0_high_response,volume,True,computed_from_cif,computed_from_cif,Angstrom^3,287,287,ok,0.9667137786225718,0.9590506921673646,0.9732566248456045,0.9283569532737721,0.889139534782134,0.9477772362068757,1.203006970579193,1.102898242861394,1.2944036594909893,0.9765849233737725,0.5072
P0_high_response,band_gap,True,band_gap,band_gap,eV,287,287,ok,0.889850492466401,0.8596806755356543,0.9157260266228404,0.8892345361945824,0.8574654426419118,0.91213149429684,1.1261436844230224,1.026260688286326,1.220312447689457,0.9374625062945827,0.506
P0_high_response,energy_above_hull,False,energy_above_hull,energy_above_hull,eV/atom,287,287,ok,0.6595905539041385,0.5859201611502768,0.7276262479272715,0.5915729109545601,0.49818346967154675,0.6713373251892166,0.8958837458607597,0.7758678477146014,1.0062654285766088,0.6398008810545605,0.4984
P0_high_response,dielectric_total_trace,True,dielectric_total,dielectric_total,dimensionless,287,287,ok,0.41001023490379596,0.3315438106238633,0.4843128211910581,0.24652818061162204,0.1652865989680724,0.3267708273119183,0.6463034268604172,0.5336102746220964,0.7584764395721932,0.2947561507116224,0.5004
P0_high_response,elastic_bulk_modulus_vrh,False,elastic_tensor,elastic_tensor,GPa,0,126,insufficient_N,,,,,,,,,,,
