panel,metric,n_pairs,jarvis_median,mp_median,median_ratio_mp_over_jarvis,mean_log_ratio,median_log_ratio,kendall_tau_raw,spearman_rho_raw,kendall_tau_quantile_normalized,spearman_rho_quantile_normalized,top_10pct_threshold_crossings,top_10pct_k,ecdf_ks_stat,ecdf_ks_pvalue,quantile_mapping_value_error_mae,threshold_agreement_kappa_at_top10,mean_rank_displacement,median_rank_displacement
P0,F1_Frobenius,566,0.33168705416165567,0.5014134697026867,1.5939929518667424,0.5079574281736509,0.4662420925382762,0.24947854618068702,0.3569875846740562,0.24947854618068702,0.3569875846740562,96,56,0.19081272084805653,2.0142799137388684e-09,0.3723508118886764,0.04873949579831997,141.97173144876325,108.5
P0,F3_Longitudinal,540,0.18379594404490135,0.2767367048414269,1.549187540546983,0.4635026657520372,0.43773062192486534,0.229885689417766,0.33199073582955113,0.229885689417766,0.33199073582955113,94,54,0.17222222222222222,2.0740220509985573e-07,0.23602807142710358,0.03292181069958829,138.40740740740742,102.5
P0,F4_KelvinOp,566,0.24711571576013208,0.3794639732511873,1.6930140066226538,0.5478211341117766,0.5265041479974546,0.26061123469635855,0.3745132428036705,0.26061123469635855,0.3745132428036705,94,56,0.18021201413427562,1.911503540297633e-08,0.32062050083134513,0.06855742296918844,140.2756183745583,103.5
P0_high_response,F1_Frobenius,285,0.6603448472578551,1.07859005331403,1.7940310686323055,0.5960199751493254,0.5844650815648564,-0.23275468012538186,-0.32913761227255117,-0.23275468012538186,-0.32913761227255117,54,28,0.3087719298245614,2.1236842562120167e-12,0.7655534883112619,-0.06934408004447011,112.8140350877193,99.0
P0_high_response,F3_Longitudinal,284,0.38341509324660356,0.609534999999998,1.7750545171161098,0.6109243246178272,0.5737837362126341,-0.20498463339284267,-0.293383891261429,-0.20498463339284267,-0.293383891261429,54,28,0.2711267605633803,1.3691312699387068e-09,0.4751516555876853,-0.06975446428571382,109.27464788732394,95.0
P0_high_response,F4_KelvinOp,285,0.5122494442163896,0.8797610439488669,1.9054778835723756,0.6484373388214302,0.6447328346374855,-0.22198060214102402,-0.3148193026842663,-0.22198060214102402,-0.3148193026842663,56,28,0.3087719298245614,2.1236842562120167e-12,0.6325657537263821,-0.10894941634241294,111.81754385964912,98.0
P2,F1_Frobenius,207,0.36424694755069675,0.50398625571969,1.712236356627565,0.3641797004607032,0.5378003269680975,0.191753834607627,0.2669622405892357,0.191753834607627,0.2669622405892357,36,20,0.12560386473429952,0.07628289579417558,0.2465837521786949,0.0037433155080213243,57.38164251207729,48.0
P2,F3_Longitudinal,196,0.2342244994032952,0.3068054195182835,1.6838780113690586,0.36769021169427824,0.5210964043707305,0.1486811806573163,0.21178702800568655,0.1486811806573163,0.21178702800568655,36,19,0.12755102040816327,0.08239693723783545,0.18233452757755497,-0.04906333630686928,56.93877551020408,48.5
P2,F4_KelvinOp,207,0.2648670798721502,0.36292962710227983,1.749412208136752,0.4070836914669234,0.5592798504500307,0.2051690979877105,0.28950708065055125,0.2051690979877105,0.28950708065055125,38,20,0.12560386473429952,0.07628289579417558,0.22999430852809802,-0.05160427807486663,56.792270531400966,47.0
P2_high_response,F1_Frobenius,116,0.8141450639555358,1.033643032061201,1.4016510360948753,0.12402855473574972,0.33755858226835006,-0.24664517649338516,-0.36919688078506063,-0.24664517649338516,-0.36919688078506063,22,11,0.15517241379310345,0.12253927562732408,0.3946543065191278,-0.10476190476190476,47.46551724137931,51.0
P2_high_response,F3_Longitudinal,116,0.4844349999999956,0.5462002976659479,1.52051018774072,0.14771040487087383,0.4190407149476592,-0.2667366376788646,-0.40401799872830324,-0.2667366376788646,-0.40401799872830324,22,11,0.21551724137931033,0.008972619078284746,0.2834873568022392,-0.10476190476190476,48.44827586206897,46.5
P2_high_response,F4_KelvinOp,116,0.5658267320295229,0.6851848196587661,1.5374057394794005,0.19813672340935634,0.43007862419037757,-0.2670365102338717,-0.4004428563472902,-0.2670365102338717,-0.4004428563472902,22,11,0.22413793103448276,0.005750058934339939,0.373200970842863,-0.10476190476190476,48.41379310344828,46.5
