panel,metric,fraction,method,n_selected,kendall_tau,kendall_tau_ci95_low,kendall_tau_ci95_high,nAUCC,nAUCC_ci95_low,nAUCC_ci95_high,permuted_mean_naucc,permutation_pvalue,note
P0,F1_Frobenius,0.1,dual_high,58,0.035119602738988814,-0.19289176728391083,0.23934316482435627,-0.04579650965603431,-0.11799824532493625,0.04366761404497252,,,both sources exceed min-quantile threshold
P0,F1_Frobenius,0.1,jarvis_anchor,57,0.2092731829573935,-0.061845286280429075,0.37381773657631157,0.05325702431286598,-0.06075469390159039,0.1907027555479821,,,"top fraction by JARVIS, evaluated on MP"
P0,F1_Frobenius,0.1,mp_anchor,57,-0.053274838090777654,-0.234746375988784,0.137224198949289,-0.018153086550734897,-0.10402133589674552,0.08973601684743417,,,"top fraction by MP, evaluated on JARVIS"
P0,F1_Frobenius,0.1,pooled_exploratory,58,,,,-0.15465988347349968,,,-0.18814693689746925,0.005,legacy pooled selection; exploratory only
P0,F1_Frobenius,0.25,dual_high,143,0.06955322608867702,-0.04632252589186558,0.18130687379177537,0.03101514181404255,-0.033531720993610396,0.10230980477745272,,,both sources exceed min-quantile threshold
P0,F1_Frobenius,0.25,jarvis_anchor,143,-0.019406955356482507,-0.14088872246799175,0.10515814389620524,-0.005916748938789369,-0.07004142408368996,0.07019201199495244,,,"top fraction by JARVIS, evaluated on MP"
P0,F1_Frobenius,0.25,mp_anchor,143,0.03861498305427609,-0.08250861038173894,0.15432057699258014,0.006713243437521823,-0.052226087432960984,0.07785368174410068,,,"top fraction by MP, evaluated on JARVIS"
P0,F1_Frobenius,0.25,pooled_exploratory,144,,,,-0.1003515613989583,,,-0.14258024019502946,0.005,legacy pooled selection; exploratory only
P0,F3_Longitudinal,0.1,dual_high,58,0.042360062453398364,-0.13757993136046173,0.21420482543515904,-0.039437908865108784,-0.107255769475364,0.07175763115384085,,,both sources exceed min-quantile threshold
P0,F3_Longitudinal,0.1,jarvis_anchor,57,0.2380952380952381,-0.009267764084306572,0.4189173000825576,0.03457610439332823,-0.06541295807940486,0.21497321385175708,,,"top fraction by JARVIS, evaluated on MP"
P0,F3_Longitudinal,0.1,mp_anchor,57,-0.16483861668087674,-0.33801523222938484,0.009873857314917833,-0.05726565940125891,-0.12989405631945333,0.041057155948216295,,,"top fraction by MP, evaluated on JARVIS"
P0,F3_Longitudinal,0.1,pooled_exploratory,58,,,,-0.13899913093576616,,,-0.18576884370682853,0.005,legacy pooled selection; exploratory only
