panel,metric,eval_mode,strategy,budget_factor,is_primary,coverage_upper_bound,baseline_strategy,n_groups,paired_diff_recall,paired_diff_recall_ci95_low,paired_diff_recall_ci95_high,material_paired_diff_recall,material_paired_diff_recall_ci95_low,material_paired_diff_recall_ci95_high
P0,F1_Frobenius,full_panel,jarvis_only,1.0,True,False,jarvis_only,496,0.0,0.0,0.0,0.0,0.0,0.0
P0,F1_Frobenius,full_panel,mp_only,1.0,True,False,jarvis_only,496,0.014112903225806451,-0.02217741935483871,0.05040322580645161,0.0,-0.10714285714285714,0.09090909090909088
P0,F1_Frobenius,full_panel,average_percentile,1.0,True,False,jarvis_only,496,0.014112903225806451,-0.012147177419354836,0.04233870967741935,0.3157894736842105,0.15254237288135591,0.3966379310344823
P0,F1_Frobenius,full_panel,borda_count,1.0,True,False,jarvis_only,496,0.014112903225806451,-0.012147177419354836,0.04233870967741935,0.3157894736842105,0.15254237288135591,0.3966379310344823
P0,F1_Frobenius,full_panel,maximin_percentile,1.0,True,False,jarvis_only,496,0.014112903225806451,-0.016129032258064516,0.04435483870967742,0.24561403508771928,0.1016949152542373,0.3157894736842105
P0,F1_Frobenius,full_panel,intersection_first,1.0,True,False,jarvis_only,496,0.014112903225806451,-0.012147177419354836,0.04233870967741935,0.3157894736842105,0.15254237288135591,0.3966379310344823
P0,F1_Frobenius,full_panel,balanced_union,1.0,True,False,jarvis_only,496,0.012096774193548387,-0.012096774193548387,0.036290322580645164,0.38596491228070173,0.21428571428571427,0.5
P0,F1_Frobenius,full_panel,disagreement_abstention,1.0,True,False,jarvis_only,496,0.014112903225806451,-0.012147177419354836,0.04233870967741935,0.3157894736842105,0.15254237288135591,0.3966379310344823
P0,F1_Frobenius,full_panel,minimax_oracle,1.0,True,False,jarvis_only,496,0.014112903225806451,-0.012096774193548387,0.040372983870967466,0.3333333333333333,0.15789473684210525,0.4107142857142857
P0,F1_Frobenius,full_panel,jarvis_only,1.5,False,False,jarvis_only,496,0.0,0.0,0.0,0.0,0.0,0.0
P0,F1_Frobenius,full_panel,mp_only,1.5,False,False,jarvis_only,496,0.008064516129032258,-0.03225806451612903,0.04838709677419355,-0.05263157894736842,-0.18181818181818182,0.08771929824561403
P0,F1_Frobenius,full_panel,average_percentile,1.5,False,False,jarvis_only,496,0.008064516129032258,-0.02620967741935484,0.04032258064516129,0.24561403508771928,0.07017543859649128,0.3818560606060604
P0,F1_Frobenius,full_panel,borda_count,1.5,False,False,jarvis_only,496,0.008064516129032258,-0.02620967741935484,0.04032258064516129,0.24561403508771928,0.07017543859649128,0.3818560606060604
P0,F1_Frobenius,full_panel,maximin_percentile,1.5,False,False,jarvis_only,496,0.012096774193548387,-0.02217741935483871,0.04642137096774166,0.17543859649122806,0.0,0.2678571428571429
P0,F1_Frobenius,full_panel,intersection_first,1.5,False,False,jarvis_only,496,0.008064516129032258,-0.02620967741935484,0.04032258064516129,0.24561403508771928,0.07017543859649128,0.3818560606060604
P0,F1_Frobenius,full_panel,balanced_union,1.5,False,False,jarvis_only,496,0.006048387096774193,-0.024193548387096774,0.034274193548387094,0.5087719298245614,0.30357142857142855,0.6181818181818182
P0,F1_Frobenius,full_panel,disagreement_abstention,1.5,False,False,jarvis_only,496,0.008064516129032258,-0.02620967741935484,0.04032258064516129,0.24561403508771928,0.07017543859649128,0.3818560606060604
P0,F1_Frobenius,full_panel,minimax_oracle,1.5,False,False,jarvis_only,496,0.010080645161290322,-0.02217741935483871,0.038306451612903226,0.3157894736842105,0.12962962962962965,0.4074074074074074
P0,F1_Frobenius,full_panel,jarvis_only,2.0,False,False,jarvis_only,496,0.0,0.0,0.0,0.0,0.0,0.0
P0,F1_Frobenius,full_panel,mp_only,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.034274193548387094,0.056451612903225805,-0.017543859649122806,-0.18337962962962964,0.13210691823899356
P0,F1_Frobenius,full_panel,average_percentile,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.024193548387096774,0.0444052419354836,0.24561403508771934,0.05354793233082699,0.3962264150943396
P0,F1_Frobenius,full_panel,borda_count,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.024193548387096774,0.0444052419354836,0.24561403508771934,0.05354793233082699,0.3962264150943396
P0,F1_Frobenius,full_panel,maximin_percentile,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.026260080645161287,0.04838709677419355,0.15789473684210525,-0.03449788263762857,0.267940375302663
P0,F1_Frobenius,full_panel,intersection_first,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.024193548387096774,0.0444052419354836,0.24561403508771934,0.05354793233082699,0.3962264150943396
P0,F1_Frobenius,full_panel,balanced_union,2.0,False,True,jarvis_only,496,-0.0020161290322580645,-0.034274193548387094,0.03024193548387097,0.6666666666666667,0.4067796610169491,0.7454545454545454
P0,F1_Frobenius,full_panel,disagreement_abstention,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.024193548387096774,0.0444052419354836,0.24561403508771934,0.05354793233082699,0.3962264150943396
P0,F1_Frobenius,full_panel,minimax_oracle,2.0,False,False,jarvis_only,496,0.012096774193548387,-0.020161290322580645,0.04435483870967742,0.3333333333333333,0.1249451754385965,0.4285714285714286
P0,F1_Frobenius,cv_mean,jarvis_only,1.0,True,False,max_fold_baseline,5,0.0,0.0,0.0,,,
P0,F1_Frobenius,cv_mean,mp_only,1.0,True,False,max_fold_baseline,5,0.0,0.0,0.0,,,
P0,F1_Frobenius,cv_mean,average_percentile,1.0,True,False,max_fold_baseline,5,0.2006993006993007,0.13706293706293704,0.27179487179487183,,,
P0,F1_Frobenius,cv_mean,borda_count,1.0,True,False,max_fold_baseline,5,0.2006993006993007,0.13706293706293704,0.27179487179487183,,,
P0,F1_Frobenius,cv_mean,maximin_percentile,1.0,True,False,max_fold_baseline,5,0.1464257964257964,0.10046620046620044,0.19238539238539237,,,
P0,F1_Frobenius,cv_mean,intersection_first,1.0,True,False,max_fold_baseline,5,0.2006993006993007,0.13706293706293704,0.27179487179487183,,,
