panel,direction,q_percent,distance_bin,distance_lower,distance_upper,n,disagreements,disagreement_rate
P0,JARVIS_to_MP,5,"(-inf,-20]",-inf,-20.0,0,0,
P0,JARVIS_to_MP,5,"(-20,-10]",-20.0,-10.0,0,0,
P0,JARVIS_to_MP,5,"(-10,-5]",-10.0,-5.0,0,0,
P0,JARVIS_to_MP,5,"(-5,-2]",-5.0,-2.0,17,17,1.0
P0,JARVIS_to_MP,5,"(-2,0]",-2.0,0.0,11,10,0.9090909090909091
P0,JARVIS_to_MP,5,"(0,2]",0.0,2.0,12,2,0.16666666666666666
P0,JARVIS_to_MP,5,"(2,5]",2.0,5.0,17,1,0.058823529411764705
P0,JARVIS_to_MP,5,"(5,10]",5.0,10.0,28,3,0.10714285714285714
P0,JARVIS_to_MP,5,"(10,20]",10.0,20.0,58,3,0.05172413793103448
P0,JARVIS_to_MP,5,"(20,inf)",20.0,inf,430,18,0.04186046511627907
P0,JARVIS_to_MP,10,"(-inf,-20]",-inf,-20.0,0,0,
P0,JARVIS_to_MP,10,"(-20,-10]",-20.0,-10.0,0,0,
P0,JARVIS_to_MP,10,"(-10,-5]",-10.0,-5.0,28,25,0.8928571428571429
P0,JARVIS_to_MP,10,"(-5,-2]",-5.0,-2.0,17,14,0.8235294117647058
P0,JARVIS_to_MP,10,"(-2,0]",-2.0,0.0,12,10,0.8333333333333334
P0,JARVIS_to_MP,10,"(0,2]",0.0,2.0,11,2,0.18181818181818182
P0,JARVIS_to_MP,10,"(2,5]",2.0,5.0,17,5,0.29411764705882354
P0,JARVIS_to_MP,10,"(5,10]",5.0,10.0,29,4,0.13793103448275862
P0,JARVIS_to_MP,10,"(10,20]",10.0,20.0,57,9,0.15789473684210525
P0,JARVIS_to_MP,10,"(20,inf)",20.0,inf,402,29,0.07213930348258707
P0,JARVIS_to_MP,20,"(-inf,-20]",-inf,-20.0,0,0,
P0,JARVIS_to_MP,20,"(-20,-10]",-20.0,-10.0,57,39,0.6842105263157895
P0,JARVIS_to_MP,20,"(-10,-5]",-10.0,-5.0,28,17,0.6071428571428571
P0,JARVIS_to_MP,20,"(-5,-2]",-5.0,-2.0,18,13,0.7222222222222222
P0,JARVIS_to_MP,20,"(-2,0]",-2.0,0.0,11,7,0.6363636363636364
P0,JARVIS_to_MP,20,"(0,2]",0.0,2.0,12,1,0.08333333333333333
P0,JARVIS_to_MP,20,"(2,5]",2.0,5.0,17,5,0.29411764705882354
P0,JARVIS_to_MP,20,"(5,10]",5.0,10.0,28,10,0.35714285714285715
P0,JARVIS_to_MP,20,"(10,20]",10.0,20.0,58,18,0.3103448275862069
P0,JARVIS_to_MP,20,"(20,inf)",20.0,inf,344,42,0.12209302325581395
P0,MP_to_JARVIS,5,"(-inf,-20]",-inf,-20.0,0,0,
P0,MP_to_JARVIS,5,"(-20,-10]",-20.0,-10.0,0,0,
P0,MP_to_JARVIS,5,"(-10,-5]",-10.0,-5.0,0,0,
P0,MP_to_JARVIS,5,"(-5,-2]",-5.0,-2.0,17,17,1.0
P0,MP_to_JARVIS,5,"(-2,0]",-2.0,0.0,11,10,0.9090909090909091
P0,MP_to_JARVIS,5,"(0,2]",0.0,2.0,12,1,0.08333333333333333
P0,MP_to_JARVIS,5,"(2,5]",2.0,5.0,17,1,0.058823529411764705
P0,MP_to_JARVIS,5,"(5,10]",5.0,10.0,28,5,0.17857142857142858
P0,MP_to_JARVIS,5,"(10,20]",10.0,20.0,58,6,0.10344827586206896
P0,MP_to_JARVIS,5,"(20,inf)",20.0,inf,430,14,0.03255813953488372
P0,MP_to_JARVIS,10,"(-inf,-20]",-inf,-20.0,0,0,
P0,MP_to_JARVIS,10,"(-20,-10]",-20.0,-10.0,0,0,
P0,MP_to_JARVIS,10,"(-10,-5]",-10.0,-5.0,28,24,0.8571428571428571
P0,MP_to_JARVIS,10,"(-5,-2]",-5.0,-2.0,17,13,0.7647058823529411
P0,MP_to_JARVIS,10,"(-2,0]",-2.0,0.0,12,12,1.0
P0,MP_to_JARVIS,10,"(0,2]",0.0,2.0,11,4,0.36363636363636365
P0,MP_to_JARVIS,10,"(2,5]",2.0,5.0,17,1,0.058823529411764705
P0,MP_to_JARVIS,10,"(5,10]",5.0,10.0,29,5,0.1724137931034483
P0,MP_to_JARVIS,10,"(10,20]",10.0,20.0,57,8,0.14035087719298245
P0,MP_to_JARVIS,10,"(20,inf)",20.0,inf,402,31,0.07711442786069651
P0,MP_to_JARVIS,20,"(-inf,-20]",-inf,-20.0,0,0,
P0,MP_to_JARVIS,20,"(-20,-10]",-20.0,-10.0,57,38,0.6666666666666666
P0,MP_to_JARVIS,20,"(-10,-5]",-10.0,-5.0,28,18,0.6428571428571429
P0,MP_to_JARVIS,20,"(-5,-2]",-5.0,-2.0,18,12,0.6666666666666666
P0,MP_to_JARVIS,20,"(-2,0]",-2.0,0.0,11,8,0.7272727272727273
P0,MP_to_JARVIS,20,"(0,2]",0.0,2.0,12,1,0.08333333333333333
P0,MP_to_JARVIS,20,"(2,5]",2.0,5.0,17,4,0.23529411764705882
P0,MP_to_JARVIS,20,"(5,10]",5.0,10.0,28,8,0.2857142857142857
P0,MP_to_JARVIS,20,"(10,20]",10.0,20.0,58,10,0.1724137931034483
P0,MP_to_JARVIS,20,"(20,inf)",20.0,inf,344,53,0.15406976744186046
P2,JARVIS_to_MP,5,"(-inf,-20]",-inf,-20.0,0,0,
P2,JARVIS_to_MP,5,"(-20,-10]",-20.0,-10.0,0,0,
P2,JARVIS_to_MP,5,"(-10,-5]",-10.0,-5.0,0,0,
P2,JARVIS_to_MP,5,"(-5,-2]",-5.0,-2.0,6,6,1.0
P2,JARVIS_to_MP,5,"(-2,0]",-2.0,0.0,4,4,1.0
P2,JARVIS_to_MP,5,"(0,2]",0.0,2.0,4,0,0.0
P2,JARVIS_to_MP,5,"(2,5]",2.0,5.0,6,0,0.0
P2,JARVIS_to_MP,5,"(5,10]",5.0,10.0,11,3,0.2727272727272727
P2,JARVIS_to_MP,5,"(10,20]",10.0,20.0,20,1,0.05
P2,JARVIS_to_MP,5,"(20,inf)",20.0,inf,156,6,0.038461538461538464
P2,JARVIS_to_MP,10,"(-inf,-20]",-inf,-20.0,0,0,
P2,JARVIS_to_MP,10,"(-20,-10]",-20.0,-10.0,0,0,
P2,JARVIS_to_MP,10,"(-10,-5]",-10.0,-5.0,10,8,0.8
P2,JARVIS_to_MP,10,"(-5,-2]",-5.0,-2.0,6,6,1.0
P2,JARVIS_to_MP,10,"(-2,0]",-2.0,0.0,4,4,1.0
P2,JARVIS_to_MP,10,"(0,2]",0.0,2.0,4,1,0.25
P2,JARVIS_to_MP,10,"(2,5]",2.0,5.0,7,2,0.2857142857142857
P2,JARVIS_to_MP,10,"(5,10]",5.0,10.0,10,0,0.0
P2,JARVIS_to_MP,10,"(10,20]",10.0,20.0,21,4,0.19047619047619047
P2,JARVIS_to_MP,10,"(20,inf)",20.0,inf,145,11,0.07586206896551724
P2,JARVIS_to_MP,20,"(-inf,-20]",-inf,-20.0,0,0,
