panel,direction,q_source_percent,q_target_percent,source_k,target_k,overlap,retention
P0,JARVIS_to_MP,1,1,5,5,0,0.0
P0,JARVIS_to_MP,1,5,5,28,0,0.0
P0,JARVIS_to_MP,1,10,5,57,0,0.0
P0,JARVIS_to_MP,1,20,5,114,1,0.2
P0,JARVIS_to_MP,1,50,5,286,3,0.6
P0,JARVIS_to_MP,5,1,28,5,0,0.0
P0,JARVIS_to_MP,5,5,28,28,1,0.03571428571428571
P0,JARVIS_to_MP,5,10,28,57,3,0.10714285714285714
P0,JARVIS_to_MP,5,20,28,114,11,0.39285714285714285
P0,JARVIS_to_MP,5,50,28,286,23,0.8214285714285714
P0,JARVIS_to_MP,10,1,57,5,0,0.0
P0,JARVIS_to_MP,10,5,57,28,4,0.07017543859649122
P0,JARVIS_to_MP,10,10,57,57,8,0.14035087719298245
P0,JARVIS_to_MP,10,20,57,114,18,0.3157894736842105
P0,JARVIS_to_MP,10,50,57,286,33,0.5789473684210527
P0,JARVIS_to_MP,20,1,114,5,0,0.0
P0,JARVIS_to_MP,20,5,114,28,9,0.07894736842105263
P0,JARVIS_to_MP,20,10,114,57,19,0.16666666666666666
P0,JARVIS_to_MP,20,20,114,114,38,0.3333333333333333
P0,JARVIS_to_MP,20,50,114,286,73,0.6403508771929824
P0,JARVIS_to_MP,50,1,286,5,1,0.0034965034965034965
P0,JARVIS_to_MP,50,5,286,28,20,0.06993006993006994
P0,JARVIS_to_MP,50,10,286,57,39,0.13636363636363635
P0,JARVIS_to_MP,50,20,286,114,83,0.2902097902097902
P0,JARVIS_to_MP,50,50,286,286,178,0.6223776223776224
P0,MP_to_JARVIS,1,1,5,5,0,0.0
P0,MP_to_JARVIS,1,5,5,28,0,0.0
P0,MP_to_JARVIS,1,10,5,57,0,0.0
P0,MP_to_JARVIS,1,20,5,114,0,0.0
P0,MP_to_JARVIS,1,50,5,286,1,0.2
P0,MP_to_JARVIS,5,1,28,5,0,0.0
