q_percentile,n,k,observed_overlap,min_overlap,max_overlap,expected_jaccard,observed_jaccard,min_jaccard,max_jaccard,observed_adjusted_jaccard,min_adjusted_jaccard,max_adjusted_jaccard,bounds_exact,tie_ambiguous,left_cutoff_score,left_next_score,left_absolute_gap,left_relative_gap,left_tie_block_size,left_optional_needed,right_cutoff_score,right_next_score,right_absolute_gap,right_relative_gap,right_tie_block_size,right_optional_needed,hypergeometric_pvalue,panel,metric
1.0,573,5,0,0,0,0.0048647682070274215,0.0,0.0,0.0,-0.004888549869008643,-0.004888549869008643,-0.004888549869008643,True,False,2.624089371648763,2.6176717085226713,0.0064176631260917105,0.0024456724665819505,1,1,10.306923916629591,9.487498485428075,0.8194254312015161,0.07950242359695925,1,1,1.0,P0,F1_Frobenius
2.0,573,11,0,0,0,0.010144239897062002,0.0,0.0,0.0,-0.010248200097362744,-0.010248200097362744,-0.010248200097362744,True,False,2.13450295542077,2.1242301942821546,0.010272761138615305,0.004812718161165655,1,1,5.024697607349122,4.935196506258564,0.08950110109055753,0.017812236294509193,1,1,1.0,P0,F1_Frobenius
3.0,573,17,0,0,0,0.015500234329753358,0.0,0.0,0.0,-0.015744274270294834,-0.015744274270294834,-0.015744274270294834,True,True,1.977782698832205,1.9294966446200417,0.048286054212163254,0.024414236326707722,1,1,3.625784985117016,3.625784985117016,0.0,0.0,2,1,1.0,P0,F1_Frobenius
4.0,573,22,0,0,0,0.02001050598232266,0.0,0.0,0.0,-0.020419102556176693,-0.020419102556176693,-0.020419102556176693,True,False,1.8067021173951172,1.7892297826159724,0.017472334779144783,0.009670844247604136,1,1,3.2775887401258843,3.206608604549001,0.0709801355768831,0.02165620558427868,1,1,1.0,P0,F1_Frobenius
5.0,573,28,1,1,1,0.025477572909264095,0.01818181818181818,0.01818181818181818,0.01818181818181818,-0.007486492382967622,-0.007486492382967622,-0.007486492382967622,True,False,1.701129467794853,1.684342580415279,0.01678688737957401,0.009868083351312812,1,1,3.0681348614589923,2.998063044167017,0.07007181729197542,0.022838571463137745,1,1,0.7625610938212595,P0,F1_Frobenius
6.0,573,34,1,1,1,0.031004428935034415,0.014925373134328358,0.014925373134328358,0.014925373134328358,-0.01659352868149286,-0.01659352868149286,-0.01659352868149286,True,False,1.6087599998756805,1.5586315947009415,0.050128405174739044,0.03115965413026977,1,1,2.8119752277358345,2.8039182871118045,0.008056940624030062,0.0028652246095771635,1,1,0.8828317987548299,P0,F1_Frobenius
7.0,573,40,4,4,4,0.03659167305736104,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.016649125237384824,0.016649125237384824,0.016649125237384824,True,False,1.4714394183247912,1.4624740993945842,0.008965318930207022,0.006092890280466922,1,1,2.5135582642336205,2.4588038627755555,0.05475440145806498,0.021783621345558706,1,1,0.3021084629914409,P0,F1_Frobenius
8.0,573,45,6,6,6,0.041294420937402626,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.031432121757999316,0.031432121757999316,0.031432121757999316,True,False,1.3518880704407448,1.3475251965733333,0.004362873867411521,0.0032272448901698864,1,1,2.3566253479711197,2.353854578515844,0.002770769455275879,0.0011757360828106625,1,1,0.1301014547021626,P0,F1_Frobenius
9.0,573,51,8,8,8,0.046994555952628414,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.039991195500663414,0.039991195500663414,0.039991195500663414,True,False,1.28572,1.2784384477556985,0.007281552244301492,0.005663404352659594,1,1,2.2204930660103397,2.2031594968562898,0.017333569154049933,0.007806180266617063,1,1,0.07065424925003903,P0,F1_Frobenius
10.0,573,57,8,8,8,0.05275760760908707,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.023979174376674968,0.023979174376674968,0.023979174376674968,True,False,1.2273428224420428,1.209310918746705,0.018031903695337803,0.014691823152931095,1,1,2.135776715133052,2.0395485808718754,0.09622813426117638,0.045055334473567236,1,1,0.19253854262356407,P0,F1_Frobenius
11.0,573,63,11,11,11,0.05858458404020633,0.09565217391304348,0.09565217391304348,0.09565217391304348,0.039374317909427824,0.039374317909427824,0.039374317909427824,True,False,1.1742509711301072,1.16775833373177,0.006492637398337164,0.005529173539527589,1,1,1.9122921472933971,1.9060731271386182,0.0062190201547789314,0.003252128689427059,1,1,0.0691668085593569,P0,F1_Frobenius
12.0,573,68,14,14,14,0.06348998130614933,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.05473952870894474,0.05473952870894474,0.05473952870894474,True,False,1.143624358257553,1.1428172622952455,0.0008070959623074359,0.0007057351974709092,1,1,1.7836094910733626,1.7727628334208672,0.010846657652495484,0.006081296218023626,1,1,0.019621626725187958,P0,F1_Frobenius
13.0,573,74,18,18,18,0.06943688706444504,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.07417514238163624,0.07417514238163624,0.07417514238163624,True,False,1.0392518467628529,1.0379012683776816,0.001350578385171275,0.0012995679433990591,1,1,1.7078243697757682,1.6899288183234202,0.017895551452348002,0.010478566630769902,1,1,0.0028712962228367458,P0,F1_Frobenius
14.0,573,80,21,21,21,0.07545075520425892,0.1510791366906475,0.1510791366906475,0.1510791366906475,0.08180027393034862,0.08180027393034862,0.08180027393034862,True,True,1.0051600371582627,0.9969341581568965,0.008225879001366287,0.008183651057817692,1,1,1.6646882327931554,1.6646882327931554,0.0,0.0,2,1,0.0011835785807384862,P0,F1_Frobenius
15.0,573,85,22,22,22,0.08051427689820931,0.14864864864864866,0.14864864864864866,0.14864864864864866,0.07410052167052147,0.07410052167052147,0.07410052167052147,True,False,0.9776941144857116,0.973109481867277,0.00458463261843467,0.004689230047013515,1,1,1.6128895486544221,1.6108077458063979,0.0020818028480242834,0.0012907287109405969,1,1,0.002673512516616943,P0,F1_Frobenius
16.0,573,91,26,26,26,0.08665385984471832,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08760403455402464,0.08760403455402464,0.08760403455402464,True,False,0.9556992408179469,0.9422269167774819,0.013472324040464945,0.014096824047840083,1,1,1.498568972757986,1.4965414385843103,0.002027534173675738,0.0013529802168159384,1,1,0.0005519807005161501,P0,F1_Frobenius
17.0,573,97,29,29,29,0.09286367473140028,0.17575757575757575,0.17575757575757575,0.17575757575757575,0.09137976147259994,0.09137976147259994,0.09137976147259994,True,False,0.9138592009713531,0.8890311024930455,0.02482809847830758,0.027168406743530583,1,1,1.4509366826295327,1.444049155984657,0.0068875266448755745,0.0047469519017144905,1,1,0.0003351403668804773,P0,F1_Frobenius
18.0,573,103,31,31,31,0.09914492971776269,0.17714285714285713,0.17714285714285713,0.17714285714285713,0.08658210404550172,0.08658210404550172,0.08658210404550172,True,False,0.8649525341890155,0.8604570097918895,0.004495524397125972,0.005197423233566222,1,1,1.4251376272486809,1.4137117474577328,0.011425879790948112,0.008017386933363414,1,1,0.0005896419299347943,P0,F1_Frobenius
19.0,573,108,36,36,36,0.10443477276239174,0.2,0.2,0.2,0.10670939908238894,0.10670939908238894,0.10670939908238894,True,False,0.8416792543481156,0.8410156332673014,0.0006636210808141918,0.0007884488983017281,1,1,1.3649599999982975,1.3552211771884315,0.009738822809866043,0.007134877805853791,1,1,4.189235129144599e-05,P0,F1_Frobenius
20.0,573,114,38,38,38,0.11085023542627534,0.2,0.2,0.2,0.10026405913346305,0.10026405913346305,0.10026405913346305,True,False,0.8248084911662827,0.8170794999876083,0.007728991178674427,0.009370649382798666,1,1,1.298136170322667,1.2962027969033223,0.0019333734193447416,0.00148934561993152,1,1,9.903853386067267e-05,P0,F1_Frobenius
21.0,573,120,38,38,38,0.11734072027853504,0.18811881188118812,0.18811881188118812,0.18811881188118812,0.08018733075008067,0.08018733075008067,0.08018733075008067,True,False,0.7897589215070635,0.7893175050637101,0.0004414164433533818,0.000558925554789613,1,1,1.2405299999935455,1.239659051917821,0.0008709480757245203,0.0007020773989577454,1,1,0.0012444872793296792,P0,F1_Frobenius
22.0,573,126,40,40,40,0.12390754979930439,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.07393248905281237,0.07393248905281237,0.07393248905281237,True,False,0.7745751968014467,0.7690569755226202,0.005518221278826507,0.007124190526127883,1,1,1.2112698317448016,1.2088016108256006,0.0024682209192010696,0.002037713525520291,1,1,0.002564779035275853,P0,F1_Frobenius
23.0,573,131,43,43,43,0.12943920253995603,0.1963470319634703,0.1963470319634703,0.1963470319634703,0.0768560100784749,0.0768560100784749,0.0768560100784749,True,False,0.7507931010604719,0.7419014532941689,0.008891647766303024,0.011843006753450248,1,1,1.1703146636383852,1.1687168760083269,0.001597787630058356,0.0013652632746572638,1,1,0.001859573182548429,P0,F1_Frobenius
24.0,573,137,49,49,49,0.13614953768030674,0.21777777777777776,0.21777777777777776,0.21777777777777776,0.0944934842985152,0.0944934842985152,0.0944934842985152,True,False,0.7230773599000317,0.7156757304813403,0.007401629418691491,0.010236289820655975,1,1,1.1502114473000167,1.148614730185888,0.0015967171141286762,0.0013881944210143082,1,1,0.00021562509273936794,P0,F1_Frobenius
25.0,573,143,52,52,52,0.1429401392933665,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.09250472057282998,0.09250472057282998,0.09250472057282998,True,False,0.6839201278658202,0.6811750032847653,0.002745124581054914,0.004013808731760978,1,1,1.117629216287761,1.1170724930295255,0.0005567232582355253,0.0004981287623141227,1,1,0.0002845818080401098,P0,F1_Frobenius
26.0,573,148,56,56,56,0.14866133274015444,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.09945748249131894,0.09945748249131894,0.09945748249131894,True,False,0.6574194477652757,0.6548561083169341,0.0025633394483416394,0.0038990928197439804,1,1,1.0713769204401027,1.0708767443793443,0.0005001760607583616,0.00046685349592270306,1,1,0.00011530295886892613,P0,F1_Frobenius
27.0,573,154,62,62,62,0.15560287751019589,0.25203252032520324,0.25203252032520324,0.25203252032520324,0.11419939770835932,0.11419939770835932,0.11419939770835932,True,False,0.6285722551942617,0.6271794307851621,0.0013928244090996023,0.002215854100447285,1,1,1.05304245112491,1.049577057104432,0.003465394020477852,0.0032908398106609605,1,1,1.450771037152465e-05,P0,F1_Frobenius
28.0,573,160,66,66,66,0.16262888566726297,0.25984251968503935,0.25984251968503935,0.25984251968503935,0.11609384698592273,0.11609384698592273,0.11609384698592273,True,False,0.6148101153201694,0.6142382327729201,0.0005718825472492695,0.0009301775182268352,1,1,1.0184703131571007,1.01588778425572,0.002582528901380776,0.0025356938420476247,1,1,1.1297017257920164e-05,P0,F1_Frobenius
