n,block_size,top_fraction_percent,top_k_overlap,kendall_tau,spearman_rho
100,1,1.0,0,0.9995959595959596,0.99998799879988
100,2,2.0,0,0.9983838383838384,0.9999039903990399
100,3,3.0,0,0.9963636363636363,0.9996759675967597
100,4,4.0,0,0.9935353535353535,0.9992319231923192
100,5,5.0,0,0.98989898989899,0.9984998499849985
100,6,6.0,0,0.9854545454545455,0.9974077407740775
100,7,7.0,0,0.9802020202020202,0.9958835883588358
100,8,8.0,0,0.9741414141414142,0.9938553855385539
100,9,9.0,0,0.9672727272727273,0.9912511251125112
100,10,10.0,0,0.9595959595959596,0.987998799879988
100,11,11.0,0,0.9511111111111111,0.984026402640264
100,12,12.0,0,0.9418181818181818,0.9792619261926193
100,13,13.0,0,0.9317171717171717,0.9736333633363337
100,14,14.0,0,0.9208080808080809,0.967068706870687
100,15,15.0,0,0.9090909090909091,0.9594959495949595
100,16,16.0,0,0.8965656565656566,0.9508430843084308
100,17,17.0,0,0.8832323232323233,0.941038103810381
100,18,18.0,0,0.8690909090909091,0.93000900090009
100,19,19.0,0,0.8541414141414141,0.9176837683768377
100,20,20.0,0,0.8383838383838383,0.903990399039904
100,21,21.0,0,0.8218181818181818,0.8888568856885688
100,22,22.0,0,0.8044444444444444,0.8722112211221122
100,23,23.0,0,0.7862626262626262,0.853981398139814
100,24,24.0,0,0.7672727272727273,0.8340954095409541
100,25,25.0,0,0.7474747474747474,0.8124812481248125
