stratum,selection_order,pair_id,jarvis_id,mp_id,formula,reduced_formula,crystal_system,jarvis_crystal_system,mp_crystal_system,atom_count_reduced,P2,jarvis_f1,mp_f1,jarvis_f3,mp_f3,jarvis_f4,mp_f4,rms_distance,max_distance,lattice_distance,space_group_relation
consensus_elite,1,JVASP-1023__mp-19,JVASP-1023,mp-19,Te,Te,trigonal,trigonal,trigonal,1.0,False,1.9294966446200417,3.206608604549001,0.9852596682868133,1.507097828537752,1.3643699606778215,2.267414982905723,0.021423355193615542,0.0214397341507731,0.028012788612437944,identical
consensus_elite,2,JVASP-36689__mp-989625,JVASP-36689,mp-989625,SrWN3,SrWN3,triclinic,triclinic,triclinic,5.0,True,1.977782698832205,2.425772264527411,0.8893185201461539,1.7896400786995597,1.2521729225224856,1.8811146414640094,0.007479413215792157,0.01502251016052262,0.002510517561320026,identical
consensus_elite,3,JVASP-29860__mp-626701,JVASP-29860,mp-626701,Mn(HO)2,Mn(HO)2,cross_source_mismatch,monoclinic,triclinic,5.0,False,96.12611608797735,1.88055025952512,52.2076816787236,1.3049026956411713,95.48234272298501,1.5300078570386488,0.036228861136707494,0.05098712480021398,1.7283291444803603,different
consensus_elite,4,JVASP-25210__mp-567313,JVASP-25210,mp-567313,Te,Te,trigonal,trigonal,trigonal,1.0,False,2.0049520479552623,2.5135582642336205,1.0283196535760464,1.233005179543031,1.4177195756566248,1.7773541766069976,0.022832539791516997,0.02285633931002201,0.03202056752425882,identical
consensus_elite,5,JVASP-29377__mp-550998,JVASP-29377,mp-550998,TiZn(BiO3)2,TiZn(BiO3)2,tetragonal,tetragonal,tetragonal,10.0,False,1.0051600371582627,5.024697607349122,0.84827,2.533814056388363,0.9994100913538947,3.2090061365164138,0.008408113099784236,0.01666541236410868,0.007911898635876425,identical
consensus_elite,6,JVASP-36531__mp-1014251,JVASP-36531,mp-1014251,HfZnN2,HfZnN2,trigonal,trigonal,trigonal,4.0,True,1.5586315947009415,4.39035198489745,0.6782341299894373,2.237207796955867,0.9384716453894599,3.0890933741758455,0.0012888374478343665,0.002206479222836537,0.0006815220099328738,identical
consensus_elite,7,JVASP-36529__mp-1014244,JVASP-36529,mp-1014244,ZrZnN2,ZrZnN2,trigonal,trigonal,trigonal,4.0,True,1.4800628172817532,4.935196506258564,0.5844699999999996,2.529079632833915,0.8971731477256774,3.477412886867259,0.0025140137083793177,0.004264347002325845,0.0011332011861098544,identical
consensus_elite,8,JVASP-3450__mp-20459,JVASP-3450,mp-20459,TiPbO3,TiPbO3,tetragonal,tetragonal,tetragonal,5.0,True,0.9776941144857116,7.463687827595685,0.6240899999999998,3.8736199984121793,0.9264607416938938,4.610180649844429,0.0015323366276641266,0.002481759649687593,0.001100039732618571,identical
consensus_elite,9,JVASP-36671__mp-1017551,JVASP-36671,mp-1017551,Bi2O3,Bi2O3,tetragonal,tetragonal,tetragonal,5.0,True,1.3408422913974634,5.928770290958318,0.5747343473877101,2.7310111108342277,0.7887634722779701,4.373519081249103,0.0021129710974584145,0.0033409006490372067,0.000916835230710905,identical
consensus_elite,10,JVASP-35206__mp-1020712,JVASP-35206,mp-1020712,ZnSiN2,ZnSiN2,orthorhombic,orthorhombic,orthorhombic,4.0,False,1.4714394183247912,2.3566253479711197,0.8524999999999999,1.4428099985810372,1.0670794598341775,1.8447077780776013,0.000762487675986225,0.0011968940031334247,0.19588146856767313,identical
jarvis_only_elite,1,JVASP-7878__mp-19128,JVASP-7878,mp-19128,CoO,CoO,hexagonal,hexagonal,hexagonal,2.0,False,6.380344106167001,0.9813755558355242,4.03593,0.827149999999999,5.420998838765786,0.854469419991143,0.00017314853804988948,0.00027013326880454924,0.648931916675272,identical
jarvis_only_elite,2,JVASP-29722__mp-583463,JVASP-29722,mp-583463,FeCl3,FeCl3,trigonal,trigonal,trigonal,4.0,False,5.117409446526631,0.34448266883054207,2.650141602138796,0.009927500731720607,3.737139100461742,0.24358603117134317,0.0077292294093668406,0.00953903473977054,0.009953510763386375,identical
jarvis_only_elite,3,JVASP-36580__mp-1016108,JVASP-36580,mp-1016108,TiZnN2,TiZnN2,orthorhombic,orthorhombic,orthorhombic,4.0,False,2.241244294069703,1.0758514472732743,1.36016,0.9837500000000001,1.723202005482816,1.0711529772166062,0.0026335897871776733,0.0037650004502392375,0.20241818991223207,identical
jarvis_only_elite,4,JVASP-35152__mp-1019743,JVASP-35152,mp-1019743,Ga3BN4,Ga3BN4,cubic,cubic,cubic,8.0,True,2.624089371648763,0.28636984582877895,1.2370075927549253,0.13499603994191717,1.5150187050990493,0.16533570757703717,0.0008279275330605815,0.0011708663459163735,4.120356198649997e-15,identical
jarvis_only_elite,5,JVASP-36144__mp-1007823,JVASP-36144,mp-1007823,GaBN2,GaBN2,tetragonal,tetragonal,tetragonal,4.0,True,2.6266370075059857,1.1520548612370853,1.113768760411945,0.5412735753688636,1.5172531625275987,0.739661977392376,0.0001367873738433318,0.00019344655925065393,0.001995420559183891,identical
jarvis_only_elite,6,JVASP-35150__mp-1019740,JVASP-35150,mp-1019740,GaB3N4,GaB3N4,cubic,cubic,cubic,8.0,True,2.6176717085226713,1.9122921472933971,1.2339822773443718,0.9014631633072969,1.5113134655656317,1.1040623860090504,0.0005168423357271793,0.0007309254407939987,5.7312852387112176e-15,identical
jarvis_only_elite,7,JVASP-22673__mp-604884,JVASP-22673,mp-604884,BN,BN,hexagonal,hexagonal,hexagonal,2.0,False,2.2258,0.8056699999988073,1.1128999999999996,0.4028350720778332,1.5738782735650176,0.5696947543758285,1.574979811673081e-16,2.511516134237996e-16,0.023586290915996164,identical
jarvis_only_elite,8,JVASP-35109__mp-1019508,JVASP-35109,mp-1019508,AlGa3N4,AlGa3N4,cubic,cubic,cubic,8.0,True,2.2830469147610613,0.5760954926051732,1.0762386367963823,0.27157401962139305,1.3181177508098434,0.33260888773452685,0.00020717784244458435,0.000292993714608356,3.941931303454756e-15,identical
jarvis_only_elite,9,JVASP-7746__mp-12433,JVASP-7746,mp-12433,NaSnN,NaSnN,hexagonal,hexagonal,hexagonal,3.0,False,2.0297997457877464,1.1454529503048807,1.0157214942736315,0.587058775896737,1.3971722889464993,0.7193115722416589,0.00371091906388404,0.005247762877042926,0.008917490154564837,identical
jarvis_only_elite,10,JVASP-35107__mp-1019379,JVASP-35107,mp-1019379,AlB3N4,AlB3N4,cubic,cubic,cubic,8.0,True,2.1683862999013805,1.148614730185888,1.022187104594849,0.5414621764567988,1.2519184139551587,0.6631530236679919,0.00011512601791087371,0.00016281277591160718,6.011827788288937e-15,identical
mp_only_elite,1,JVASP-34284__mp-552941,JVASP-34284,mp-552941,Na4CO4,Na4CO4,trigonal,trigonal,trigonal,9.0,False,0.39650997591485637,82.15396485782648,0.19380570016381365,42.05005385919177,0.27825273738226014,58.08850548742051,0.018533657776677766,0.028030651297958932,0.00030627104583104165,related_setting
mp_only_elite,2,JVASP-11820__mp-19241,JVASP-11820,mp-19241,BaNiO3,BaNiO3,hexagonal,hexagonal,hexagonal,5.0,False,0.0013893163786553443,17.82613355070761,0.0006435657370601601,16.74625000000001,0.0009758073580374356,17.825958586491282,0.010268710567218618,0.017449824945745117,0.00627229397239389,different
mp_only_elite,3,JVASP-59062__mp-29927,JVASP-59062,mp-29927,Pb7(BrF6)2,Pb7(BrF6)2,hexagonal,hexagonal,hexagonal,21.0,False,0.11069752120079293,20.42391323123886,0.052758171796145274,10.21195745857085,0.0782749679016223,14.441887971381488,0.01121963667674333,0.018019721847030098,0.0011707391161824411,identical
mp_only_elite,4,JVASP-7773__mp-13108,JVASP-7773,mp-13108,SrHfO3,SrHfO3,tetragonal,tetragonal,tetragonal,5.0,False,0.006382045126759918,18.441853750650992,0.002868777861177669,9.136860189903349,0.00401636651713959,11.484481857709126,0.023943435890893483,0.042610820452772,0.001400365915407711,identical
mp_only_elite,5,JVASP-43637__mp-776952,JVASP-43637,mp-776952,Na2O,Na2O,cross_source_mismatch,hexagonal,trigonal,3.0,False,0.057170591216113904,10.306923916629591,0.02858163053506572,9.619020000000006,0.04041903759368846,10.172073716428086,0.056699014127353786,0.1421276362967554,0.011617954263497834,different
mp_only_elite,6,JVASP-53082__mp-676400,JVASP-53082,mp-676400,TlNO2,TlNO2,cross_source_mismatch,monoclinic,triclinic,4.0,False,0.9356042304842364,9.487498485428075,0.565460404676043,3.9875717462279594,0.9110323253196407,9.44184974954288,0.08791804169157245,0.1414072534559032,0.07202379437503327,different
mp_only_elite,7,JVASP-35097__mp-1019323,JVASP-35097,mp-1019323,Th2HN3,Th2HN3,trigonal,trigonal,trigonal,6.0,False,0.23117939159881878,7.514459809675524,0.20598999999999595,3.7587426136400506,0.20774061206225422,5.046364070323334,0.00781517834625614,0.010772415806020837,0.005358081697659544,identical
mp_only_elite,8,JVASP-57456__mp-558828,JVASP-57456,mp-558828,K3Nb3(BO6)2,K3Nb3(BO6)2,trigonal,trigonal,trigonal,20.0,True,0.40335883701736347,3.9068511718688312,0.18926218273611073,3.837600000000002,0.2648670798721502,3.8545109108419964,0.0034426989427285438,0.004993100614753887,0.0004873539452587707,identical
mp_only_elite,9,JVASP-36889__mp-998193,JVASP-36889,mp-998193,RbSnF3,RbSnF3,triclinic,triclinic,triclinic,5.0,False,0.6811750032847653,4.52533898115931,0.373325280361976,3.2830994784296075,0.46643684138887065,3.58434126781555,0.05235989997221355,0.07178890370613637,0.00618695828512585,identical
mp_only_elite,10,JVASP-110__mp-5986,JVASP-110,mp-5986,BaTiO3,BaTiO3,tetragonal,tetragonal,tetragonal,5.0,True,0.6084626994319373,3.625784985117016,0.25852916034996865,3.4477,0.5308744429712171,3.578256032734382,0.0014872420000166672,0.00211002078755391,0.0020341655577213215,identical
consensus_low,1,JVASP-25051__mp-154,JVASP-25051,mp-154,N2,N2,cubic,cubic,cubic,2.0,False,4.898979485566356e-05,0.0,2.3083630247474207e-05,0.0,2.8284271247461906e-05,0.0,0.03348183116974339,0.04368183639266107,1.786579648146947e-15,different
consensus_low,2,JVASP-46065__mp-769025,JVASP-46065,mp-769025,K2Mg2O3,K2Mg2O3,tetragonal,tetragonal,tetragonal,7.0,True,0.008270054413363917,0.036479999999998,0.003679161532015302,0.0,0.005868986283848345,0.025795255377683842,0.004109553407216371,0.005764994500429618,0.0009926989969971363,identical
consensus_low,3,JVASP-34410__mp-554845,JVASP-34410,mp-554845,Na2Zn2O3,Na2Zn2O3,tetragonal,tetragonal,tetragonal,7.0,False,0.00426,0.052680000000000005,0.0018930625363899408,0.0,0.0030122748878546927,0.03725038523290733,0.00854951961753917,0.01327785482601335,0.0030010124514537498,identical
consensus_low,4,JVASP-29604__mp-569994,JVASP-29604,mp-569994,CdI2,CdI2,hexagonal,hexagonal,hexagonal,3.0,False,0.01597698970394611,0.008392186901300095,0.007425487382834308,0.003635854868612111,0.010917728701520295,0.00574170743517859,0.027782330817146206,0.03456500106167974,0.038493109974535755,identical
consensus_low,5,JVASP-34330__mp-554243,JVASP-34330,mp-554243,SiO2,SiO2,hexagonal,hexagonal,hexagonal,3.0,True,0.02162,0.00466,0.009608888888889187,0.0,0.01528764860925316,0.0032951176003293116,0.000330123445694086,0.00045401271869333716,0.0002483712141844713,identical
consensus_low,6,JVASP-3906__mp-27934,JVASP-3906,mp-27934,CdBr2,CdBr2,hexagonal,hexagonal,hexagonal,3.0,False,0.019877758928007954,0.002807213916924415,0.009530787603179623,0.0007640268199397166,0.01398657213186991,0.002807213916924415,0.016658493273826683,0.020442569796496467,0.021244826667549357,identical
consensus_low,7,JVASP-29542__mp-567542,JVASP-29542,mp-567542,PbI2,PbI2,hexagonal,hexagonal,hexagonal,3.0,False,0.01095803358271912,0.02177774080523729,0.005306662311790201,0.008852705610331217,0.007693321779309638,0.015344220367269503,0.024088048972434623,0.03263051406777871,0.017754432197254446,identical
consensus_low,8,JVASP-9097__mp-1554,JVASP-9097,mp-1554,KTe,KTe,hexagonal,hexagonal,hexagonal,2.0,False,0.00114,0.038339999666755595,0.0005697092823643198,0.01917000100769194,0.0008061017305526642,0.027110474862209827,0.011176392923238939,0.015581373710653901,0.00708510630819048,identical
diversity_balanced,1,JVASP-10493__mp-9197,JVASP-10493,mp-9197,Li3AsO4,Li3AsO4,orthorhombic,orthorhombic,orthorhombic,8.0,True,0.5519613249132588,1.3552211771884315,0.32563999999997095,0.9214600000000001,0.4146108693703049,1.136009712502494,0.004336656243114321,0.0066489422459894134,0.0015406651391086372,identical
diversity_balanced,2,JVASP-2919__mp-9198,JVASP-2919,mp-9198,Fe(SiP)4,Fe(SiP)4,triclinic,triclinic,triclinic,9.0,True,0.9788032378369005,0.27000170499461446,0.49297511310954983,0.18374861130736653,0.6224744234071903,0.22459964250495645,0.0018845122864598253,0.002642963501233776,8.570229835161235e-05,identical
diversity_balanced,3,JVASP-11815__mp-19219,JVASP-11815,mp-19219,Li3VO4,Li3VO4,orthorhombic,orthorhombic,orthorhombic,8.0,True,0.6627666613522439,1.7078243697757682,0.3816599999999848,1.20296,0.5139696247834108,1.4588063071566424,0.0033093044435711844,0.0068795772485674145,0.00291166246923682,identical
diversity_balanced,4,JVASP-3306__mp-14983,JVASP-3306,mp-14983,Si4P4Ru,Si4P4Ru,triclinic,triclinic,triclinic,9.0,True,1.0392518467628529,0.27992717928060995,0.529664545121538,0.20342610960074375,0.6746004821188887,0.227306786271335,0.001913746740656975,0.0031201643910356864,0.000134695619800508,identical
diversity_balanced,5,JVASP-52299__mp-753378,JVASP-52299,mp-753378,TaGaO4,TaGaO4,orthorhombic,orthorhombic,orthorhombic,6.0,True,0.2797548181890707,2.911032769430808,0.11149821278128046,1.4485469169755376,0.234973031005688,2.4553717291277914,0.005774511498399522,0.006899611715746542,0.002374710422156198,identical
diversity_balanced,6,JVASP-10675__mp-10413,JVASP-10675,mp-10413,AgB(CN)4,AgB(CN)4,cubic,cubic,cubic,10.0,True,0.11767348724330388,0.05467261105892054,0.05547181386373938,0.025772915971177,0.06793881953640349,0.03156524671216749,0.006308683627934191,0.008504294395626274,1.5510221674780106e-15,identical
diversity_balanced,7,JVASP-9732__mp-5679,JVASP-9732,mp-5679,CdSO4,CdSO4,orthorhombic,orthorhombic,orthorhombic,6.0,True,0.8376121629370002,1.4965414385843103,0.47832999999999626,0.8994899999999829,0.5934789805039433,1.460852038982729,0.0056607916325510915,0.007462148460316195,0.0027270298468794188,identical
diversity_balanced,8,JVASP-11133__mp-13589,JVASP-11133,mp-13589,CuB(CN)4,CuB(CN)4,cubic,cubic,cubic,10.0,True,0.03549310637292825,0.19281566758608087,0.016731610246699394,0.09089417737941927,0.02049195451878615,0.1113221775848012,0.0005989591924504703,0.0007351232979106026,2.1344423874742472e-15,identical
diversity_balanced,9,JVASP-59246__mp-33508,JVASP-59246,mp-33508,TaGaO4,TaGaO4,orthorhombic,orthorhombic,orthorhombic,6.0,True,0.12496281526918318,0.8501268932929955,0.060890000000081636,0.5840041623125052,0.07704635487808623,0.621385302127432,0.004747762074685485,0.006943302615916874,0.0024905835902744337,identical
diversity_balanced,10,JVASP-12575__mp-23904,JVASP-12575,mp-23904,BaH4O3,BaH4O3,orthorhombic,orthorhombic,orthorhombic,8.0,True,0.1297060611536716,0.361702071185663,0.08449000000001103,0.2652099999999561,0.10701147835629596,0.269504832424206,0.0032780361244636666,0.0053381366167256986,0.0027656863390662194,identical
